zipcode,tfidfs,monthly_revenue
78619.0,0.43926928279837135,
78620.0,0.11756183553122196,590.8499999999999
78645.0,,
78652.0,0.43926928279837135,742.0725000000001
78660.0,,
78681.0,0.687353795942795,231.85500000000002
78701.0,1.016608825977081,525.915
78702.0,1.9370467881715707,511.26075
78703.0,1.725411513400419,328.068
78704.0,1.8943197916942995,337.5385
78705.0,1.2845630804012382,404.48850000000004
78712.0,,
78717.0,0.3977644290648509,533.1300000000001
78719.0,1.1655105197758202,432.81225000000006
78721.0,1.6261911719769238,487.99725
78722.0,1.4767533706335676,345.15
78723.0,1.9117199364088615,296.1855
78724.0,0.3615858179129051,283.062
78725.0,0.839764655121548,451.9125
78726.0,0.37582102944191775,276.90000000000003
78727.0,1.4951688554413396,279.43499999999995
78728.0,1.3392135428297305,87.516
78729.0,1.3981272806988343,184.20675
78730.0,1.0613371408686862,1084.2
78731.0,1.5457387653548622,281.04375000000005
78732.0,1.2847774529174145,585.78
78733.0,1.1106590007867978,320.77500000000003
78734.0,1.2661518184832437,438.3405
78735.0,0.9994827722423256,210.5025
78736.0,1.373445817733318,238.68
78737.0,1.4640929378794418,439.725
78738.0,0.6590563520304864,355.67999999999995
78739.0,1.0222689061852073,421.20000000000005
78741.0,1.7997834285249847,252.72000000000003
78742.0,0.053446766962304444,345.88125
78744.0,1.5723196391746188,292.695
78745.0,1.7403584076186533,233.883
78746.0,1.6607179036550892,378.88500000000005
78747.0,0.7359215551349216,389.02500000000003
78748.0,1.6921324809078169,239.85000000000002
78749.0,1.905338610164912,299.8125
78750.0,1.203984062585565,202.8
78751.0,1.8023422088137844,341.05500000000006
78752.0,1.396084715528514,230.92875
78753.0,1.328821555083895,348.07500000000005
78754.0,0.9096680167309477,270.27000000000004
78756.0,1.775931294362669,255.33300000000003
78757.0,1.466360686006705,374.3805
78758.0,1.6490900484285644,296.361
78759.0,1.5415632172559024,273.0
